"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 04:18:13,FALSE,NA,"1158955478799413248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akunmacet",5021,TRUE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 04:17:46,FALSE,NA,"1158955365867720705",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ranggamullen",5021,TRUE,FALSE,NA,NA
"@ABSetyono Maaf ya Kak, saat ini masih dalam prosesn investigasi ya Kak. Terima kasih -Arthur",FALSE,0,"ABSetyono",2019-08-07 04:17:45,FALSE,"1158948365272354816","1158955363464429568","833172937","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","GrabID",0,FALSE,FALSE,NA,NA
"@GrabID YaAllah saldo ovo nya bisa buat makan seumur hidup",FALSE,0,"GrabID",2019-08-07 04:17:20,FALSE,"1158599674200117248","1158955256308355072","2322081114","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chavieeey",0,FALSE,FALSE,NA,NA
"RT @strandofweb: @dnpr Saran untuk @GrabID dan juga @gojekindonesia, tolong buatkan fitur atau keterangan pada aplikasi yang menyertakan in…",FALSE,0,NA,2019-08-07 04:16:50,FALSE,NA,"1158955134103085056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ichi_fm",132,TRUE,FALSE,NA,NA
"@yulinar_ayu @GrabID he iso wah tapi ada minimum pembelian sister",FALSE,0,"yulinar_ayu",2019-08-07 04:16:17,FALSE,"1158943732835602433","1158954995699474434","403157004","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pramestidit",0,FALSE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 04:16:06,FALSE,NA,"1158954948232564736",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SuciFatmaw",5021,TRUE,FALSE,NA,NA
"RT @strandofweb: @dnpr Saran untuk @GrabID dan juga @gojekindonesia, tolong buatkan fitur atau keterangan pada aplikasi yang menyertakan in…",FALSE,0,NA,2019-08-07 04:15:56,FALSE,NA,"1158954905811341312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AGNEZMOONLINE",132,TRUE,FALSE,NA,NA
"@DiskominfoMKS Oi om om ojol @gojekindonesia @GrabID ini mitra siapa? Hayoo ngakuuuuu. Yg ngaku dsayang Tuhan",FALSE,1,"DiskominfoMKS",2019-08-07 04:15:54,FALSE,"1158946927691489280","1158954898987159552","2476319472","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emonpalalongan",0,FALSE,FALSE,NA,NA
"RT @strandofweb: @dnpr Saran untuk @GrabID dan juga @gojekindonesia, tolong buatkan fitur atau keterangan pada aplikasi yang menyertakan in…",FALSE,0,NA,2019-08-07 04:13:03,FALSE,NA,"1158954178699386880",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Sarahsr26752742",132,TRUE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 04:12:09,FALSE,NA,"1158953952303439877",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","numarillisia",5021,TRUE,FALSE,NA,NA
"@scripstweet Duh, jadi gak enak nih sama Kakak. Arthur sudah bantu update melalui DM ya Kak. Terima kasih -Rara",FALSE,0,"scripstweet",2019-08-07 04:11:35,FALSE,"1158948851677450241","1158953810665992192","905933735287111680","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","GrabID",0,FALSE,FALSE,NA,NA
